site,item_title,content,author,url,item_id,other_data,publish_date,score,pk
京东,飞利浦新安怡 自然系列双边电动吸乳器/吸奶器 卓悦排空 自然韵律科技 SCF303/01新老款随机发货,太坑了，买了不到一个月不仅降价而且赠品价值就好几百，这就是京东自营吗？把已经购买的用户权益放在哪了？,等待蜗牛506,https://item.jd.com/2576004.html,2576004,{"is_add_review":"是"},2019/04/12 07:52:44,5,6fc|ecomm_url_20190413000454_030_51_20190411192859_京东_2576004_a679b174886f10a76db16b01a9dff114
京东,飞利浦新安怡 英国品牌 AVENT 宽口径自然亲柔型奶嘴新生儿流量对装SCF651/23,不错，正品,jd_东东,https://item.jd.com/3350756.html,3350756,{"is_add_review":"否"},2019/04/12 00:10:31,5,6fc|ecomm_url_20190413000454_030_51_20190412001031_京东_3350756_267cf8fe40070940911ec04893b1272a
京东,飞利浦新安怡 美国进口 AVENT 全硅胶柔软安抚奶嘴/牙胶0-3个月蓝/绿 一体式设计 SCF194/01,非常不错，非常不错,猴***刀,https://item.jd.com/3887460.html,3887460,{"is_add_review":"否"},2019/04/12 00:11:08,5,6fc|ecomm_url_20190413000454_030_51_20190412001108_京东_3887460_ba8164845335adf3a844aabfa1702775
京东,飞利浦新安怡 英国品牌 AVENT 宽口径玻璃奶瓶125ml+240ml新生儿套装 SCF679/53自然顺畅,宝宝用品都是在京东上买的，主要是放心，又快,jd_东东,https://item.jd.com/2272004.html,2272004,{"is_add_review":"否"},2019/04/12 00:11:18,5,6fc|ecomm_url_20190413000454_030_51_20190412001118_京东_2272004_b9d92149c19d5b9257dba12cd344a544
京东,飞利浦 新安怡（AVENT）全硅胶柔软安抚奶嘴/牙胶（3个月+）粉/紫对装 一体式设计 SCF194/05,硅胶一体 不错,大曦曦ing,https://item.jd.com/5132890.html,5132890,{"is_add_review":"否"},2019/04/12 00:19:26,5,6fc|ecomm_url_20190413000454_030_51_20190412001926_京东_5132890_a608a859ceede10e0d675793cd00f7d7
京东,飞利浦新安怡 英国品牌 AVENT 宽口径自然亲柔型奶嘴新生儿流量对装SCF651/23,一直用新安怡奶嘴，质量棒棒哒,j***5,https://item.jd.com/3350756.html,3350756,{"is_add_review":"否"},2019/04/12 00:41:03,5,6fc|ecomm_url_20190413000454_030_51_20190412004103_京东_3350756_6d636d1cc03186fd0ad11772f4bd723c
京东,飞利浦新安怡 英国进口 AVENT 宽口径自然质柔型新生儿奶嘴六个月+适用于浓稠液体对装SCF656/23,挺好用的，一直在京东上买这些，感谢京东,小二郎-_-_,https://item.jd.com/3021857.html,3021857,{"is_add_review":"否"},2019/04/12 00:42:04,5,6fc|ecomm_url_20190413000454_030_51_20190412004204_京东_3021857_e36d06a1a2d861eedde68c402e772dd4
京东,飞利浦新安怡 英国品牌 AVENT 宽口径自然亲柔型奶嘴新生儿特小流量对装SCF657/23,收到了，月子中快递直接送到家里了，非常满意，宝贝儿用着很好，没有在呛奶了,jd_187310ozv,https://item.jd.com/3350760.html,3350760,{"is_add_review":"否"},2019/04/12 01:21:28,5,6fc|ecomm_url_20190413000454_030_51_20190412012128_京东_3350760_9e40cf7711fe88bd92ea1ae65242c097
京东,,好快真的好好好好好好好ヾ ^_^?,h***0,https://item.jd.com/5479831.html,5479831,{"is_add_review":"否"},2019/04/12 02:13:44,5,6fc|ecomm_url_20190413000454_030_51_20190412021344_京东_5479831_3cabdf97adf5ab0381cfd49e2ce1e234
京东,飞利浦新安怡 英国品牌 AVENT 宽口径玻璃奶瓶125ml+240ml新生儿套装 SCF679/53自然顺畅,送给朋友家二宝的，已经用上了，朋友反应说很好。,j***c,https://item.jd.com/2272004.html,2272004,{"is_add_review":"否"},2019/04/12 05:15:39,5,6fc|ecomm_url_20190413000454_030_51_20190412051539_京东_2272004_6f8104e8b2d45416a5ffa73af9a773ff
京东,飞利浦新安怡 英国品牌 AVENT 单边电动手动两用吸乳器/吸奶器 迷你便携款 迷你随行 SCF903/01,使用起来很好，一份价钱一份货，值得购买！,卫***帅,https://item.jd.com/6130798.html,6130798,{"is_add_review":"否"},2019/04/12 05:37:49,5,6fc|ecomm_url_20190413000454_030_51_20190412053749_京东_6130798_e2af7a6beb2c207dcbbd87d9146f398e
京东,飞利浦新安怡 英国品牌 AVENT 宽口径自然亲柔型新生儿奶嘴一个月+慢流量对装SCF652/23,一直用新安怡的奶瓶和奶嘴，还会一如既往地支持和购买，希望质量一直能让我们满意！,jd_541940906,https://item.jd.com/3350778.html,3350778,{"is_add_review":"否"},2019/04/12 06:13:33,5,6fc|ecomm_url_20190413000454_030_51_20190412061333_京东_3350778_7cf3b26ca80c9a020b30ea59eebb8623
京东,飞利浦新安怡 英国品牌 AVENT 宽口径自然顺畅新生儿玻璃奶瓶6oz/160毫升 SCF678/33,很好，愿我的宝贝健康成长！,北***线,https://item.jd.com/5051495.html,5051495,{"is_add_review":"否"},2019/04/12 06:53:18,5,6fc|ecomm_url_20190413000454_030_51_20190412065318_京东_5051495_d295244b10e35653fb772e6301b589b5
京东,飞利浦新安怡 英国品牌 AVENT 宽口径自然质柔型新生儿奶嘴六个月+快流量对装SCF654/23,好用，奶嘴没有异味，一直用这个牌子,jd_冰冰06,https://item.jd.com/3350764.html,3350764,{"is_add_review":"否"},2019/04/12 06:53:51,5,6fc|ecomm_url_20190413000454_030_51_20190412065351_京东_3350764_e2c4c04b47fbe07206e3a148506d7946
京东,飞利浦 新安怡200毫升带手柄吸管杯儿童水杯/宝宝学饮杯红蓝 美国牙医推荐 SCF793/01,还可以。有点重,怎***好,https://item.jd.com/4776366.html,4776366,{"is_add_review":"否"},2019/04/12 07:07:02,5,6fc|ecomm_url_20190413000454_030_51_20190412070702_京东_4776366_7be8f1378d824aeb38014d33ddacb631
京东,飞利浦 新安怡200毫升带手柄吸管杯儿童水杯/宝宝学饮杯红蓝 美国牙医推荐 SCF793/01,很好。。。。。很不错。。。。。很实用。。。?,sunnybird12010,https://item.jd.com/4776366.html,4776366,{"is_add_review":"否"},2019/04/12 07:16:38,5,6fc|ecomm_url_20190413000454_030_51_20190412071638_京东_4776366_7687893842808a9fe695ff7de360ec0d
京东,飞利浦新安怡 英国品牌 AVENT 单边电动手动两用吸乳器/吸奶器 迷你便携款 迷你随行 SCF903/01,的确便捷，对于上班族很好用。手工方式也很好，能挤出很多奶，万一没有电源的时候可以，用来急救。,d***o,https://item.jd.com/6130798.html,6130798,{"is_add_review":"否"},2019/04/12 07:22:16,5,6fc|ecomm_url_20190413000454_030_51_20190412072216_京东_6130798_ca58dbd210a3b5c828fdb7ab93f27cbc
京东,飞利浦新安怡 美国进口 AVENT 全硅胶柔软安抚奶嘴/牙胶0-3个月蓝/绿 一体式设计 SCF194/01,可以，就是外观不大好看，宝宝第一次吸还吓哭了，不过后来就好了,a***0,https://item.jd.com/3887460.html,3887460,{"is_add_review":"否"},2019/04/12 08:00:13,5,6fc|ecomm_url_20190413000454_030_51_20190412080013_京东_3887460_828862e6e0a0568f2d1db0b123318d0d
京东,飞利浦新安怡 英国品牌 AVENT 单边电动手动两用吸乳器/吸奶器 迷你便携款 迷你随行 SCF903/01,用着挺好，应该买两个的,8***5,https://item.jd.com/6130798.html,6130798,{"is_add_review":"否"},2019/04/12 08:06:54,5,6fc|ecomm_url_20190413000454_030_51_20190412080654_京东_6130798_90402e6a25c88c90a6dd7ef2cdedf554
京东,飞利浦新安怡宽口径蓝色小象自然玻璃奶瓶120ml奶嘴0月+,奶瓶漂亮，就是有点贵，质量应该没问题吧！快递哥很辛苦，点个赞,z***9,https://item.jd.com/100002625622.html,100002625622,{"is_add_review":"否"},2019/04/12 08:08:25,5,6fc|ecomm_url_20190413000454_030_51_20190412080825_京东_100002625622_d0a3c78a52b167574f4746daa729a0a7
京东,飞利浦新安怡 英国品牌 AVENT 宽口径自然质柔型新生儿奶嘴六个月+快流量对装SCF654/23,五个月的宝宝，客服建议用3+的，奶嘴，想着搞活动6+的也买了吧，回来试用后发现6+也能用,kimmozheng,https://item.jd.com/3350764.html,3350764,{"is_add_review":"否"},2019/04/12 08:33:39,5,6fc|ecomm_url_20190413000454_030_51_20190412083339_京东_3350764_4b8bb233bd0a03a4816a89816c530663
